protein1 protein2 combined_score
99287.STM1341 99287.STM0012 480
99287.STM0012 99287.STM1365 206
99287.STM1365 99287.STM0012 206
99287.STM0012 99287.STM1369 623
99287.STM1369 99287.STM0012 623
99287.STM0012 99287.STM1378 266
99287.STM1378 99287.STM0012 266
99287.STM0012 99287.STM1433 653
99287.STM1433 99287.STM0012 653
99287.STM0012 99287.STM1469 396
99287.STM1469 99287.STM0012 396
99287.STM0012 99287.STM1566 558
99287.STM1566 99287.STM0012 558
99287.STM0012 99287.STM1641 311
99287.STM1641 99287.STM0012 311
99287.STM0012 99287.STM1669 213
99287.STM1669 99287.STM0012 213
99287.STM0012 99287.STM1690 179
99287.STM1690 99287.STM0012 179
99287.STM0012 99287.STM1784 396
99287.STM1784 99287.STM0012 396
99287.STM0012 99287.STM1812 211
99287.STM1812 99287.STM0012 211
99287.STM0012 99287.STM1830 623
99287.STM1830 99287.STM0012 623
99287.STM0012 99287.STM1853 276
99287.STM1853 99287.STM0012 276
99287.STM0012 99287.STM1888 266
99287.STM1888 99287.STM0012 266
99287.STM0012 99287.STM1901 235
99287.STM1901 99287.STM0012 235
99287.STM0012 99287.STM1931 297
99287.STM1931 99287.STM0012 297
99287.STM0012 99287.STM1959 623
99287.STM1959 99287.STM0012 623
99287.STM0012 99287.STM2167 206
99287.STM2167 99287.STM0012 206
99287.STM0012 99287.STM2177 211
99287.STM2177 99287.STM0012 211
99287.STM0012 99287.STM2248 289
99287.STM2248 99287.STM0012 289
99287.STM0012 99287.STM2272 278
99287.STM2272 99287.STM0012 278
99287.STM0012 99287.STM2331 237
99287.STM2331 99287.STM0012 237
99287.STM0012 99287.STM2346 254
99287.STM2346 99287.STM0012 254
99287.STM0012 99287.STM2348 623
99287.STM2348 99287.STM0012 623
99287.STM0012 99287.STM2402 237
99287.STM2402 99287.STM0012 237
99287.STM0012 99287.STM2428 328
99287.STM2428 99287.STM0012 328
99287.STM0012 99287.STM2526 154
99287.STM2526 99287.STM0012 154
99287.STM0012 99287.STM2532 213
99287.STM2532 99287.STM0012 213
99287.STM0012 99287.STM2539 278
99287.STM2539 99287.STM0012 278
99287.STM0012 99287.STM2540 771
99287.STM2540 99287.STM0012 771
99287.STM0012 99287.STM2541 623
99287.STM2541 99287.STM0012 623
99287.STM0012 99287.STM2542 843
99287.STM2542 99287.STM0012 843
99287.STM0012 99287.STM2546 302
99287.STM2546 99287.STM0012 302
99287.STM0012 99287.STM2548 252
99287.STM2548 99287.STM0012 252
99287.STM0012 99287.STM2581 314
99287.STM2581 99287.STM0012 314
99287.STM0012 99287.STM2651 293
99287.STM2651 99287.STM0012 293
99287.STM0012 99287.STM2660 970
99287.STM2660 99287.STM0012 970
99287.STM0012 99287.STM2681 975
99287.STM2681 99287.STM0012 975
99287.STM0012 99287.STM2682 402
99287.STM2682 99287.STM0012 402
99287.STM0012 99287.STM2771 623
99287.STM2771 99287.STM0012 623
99287.STM0012 99287.STM2774 181
99287.STM2774 99287.STM0012 181
99287.STM0012 99287.STM2841 263
99287.STM2841 99287.STM0012 263
99287.STM0012 99287.STM2849 218
99287.STM2849 99287.STM0012 218
99287.STM0012 99287.STM2876 269
99287.STM2876 99287.STM0012 269
99287.STM0012 99287.STM2886 269
99287.STM2886 99287.STM0012 269
99287.STM0012 99287.STM2907 276
99287.STM2907 99287.STM0012 276
99287.STM0012 99287.STM2909 262
99287.STM2909 99287.STM0012 262
99287.STM0012 99287.STM2936 337
99287.STM2936 99287.STM0012 337
99287.STM0012 99287.STM2945 216
99287.STM2945 99287.STM0012 216
99287.STM0012 99287.STM2952 352
99287.STM2952 99287.STM0012 352
99287.STM0012 99287.STM2985 693
99287.STM2985 99287.STM0012 693
99287.STM0012 99287.STM2995 301
99287.STM2995 99287.STM0012 301
99287.STM0012 99287.STM3039 254
99287.STM3039 99287.STM0012 254
99287.STM0012 99287.STM3069 337
99287.STM3069 99287.STM0012 337
99287.STM0012 99287.STM3070 372
99287.STM3070 99287.STM0012 372
99287.STM0012 99287.STM3181 319
99287.STM3181 99287.STM0012 319
99287.STM0012 99287.STM3199 268
99287.STM3199 99287.STM0012 268
99287.STM0012 99287.STM3219 710
99287.STM3219 99287.STM0012 710
99287.STM0012 99287.STM3269 297
99287.STM3269 99287.STM0012 297
99287.STM0012 99287.STM3282 263
99287.STM3282 99287.STM0012 263
99287.STM0012 99287.STM3299 866
99287.STM3299 99287.STM0012 866
99287.STM0012 99287.STM3305 221
99287.STM3305 99287.STM0012 221
99287.STM0012 99287.STM3325 216
99287.STM3325 99287.STM0012 216
99287.STM0012 99287.STM3359 315
99287.STM3359 99287.STM0012 315
99287.STM0012 99287.STM3420 428
99287.STM3420 99287.STM0012 428
99287.STM0012 99287.STM3433 493
99287.STM3433 99287.STM0012 493
99287.STM0012 99287.STM3435 370
99287.STM3435 99287.STM0012 370
99287.STM0012 99287.STM3438 236
99287.STM3438 99287.STM0012 236
99287.STM0012 99287.STM3443 396
99287.STM3443 99287.STM0012 396
99287.STM0012 99287.STM3445 660
99287.STM3445 99287.STM0012 660
99287.STM0012 99287.STM3446 601
99287.STM3446 99287.STM0012 601
99287.STM0012 99287.STM3453 500
99287.STM3453 99287.STM0012 500
99287.STM0012 99287.STM3455 780
99287.STM3455 99287.STM0012 780
99287.STM0012 99287.STM3472 344
99287.STM3472 99287.STM0012 344
99287.STM0012 99287.STM3503 286
99287.STM3503 99287.STM0012 286
99287.STM0012 99287.STM3536 291
99287.STM3536 99287.STM0012 291
99287.STM0012 99287.STM3568 852
99287.STM3568 99287.STM0012 852
99287.STM0012 99287.STM3613 278
99287.STM3613 99287.STM0012 278
99287.STM0012 99287.STM3616 269
99287.STM3616 99287.STM0012 269
99287.STM0012 99287.STM3701 771
99287.STM3701 99287.STM0012 771
99287.STM0012 99287.STM3721 216
99287.STM3721 99287.STM0012 216
99287.STM0012 99287.STM3731 407
99287.STM3731 99287.STM0012 407
99287.STM0012 99287.STM3808 613
99287.STM3808 99287.STM0012 613
99287.STM0012 99287.STM3813 289
99287.STM3813 99287.STM0012 289
